140	Confirmed Malaria cases (children under 5) treated with ACT
141	Non-Malaria Fever cases
142	Total number of TB suspects identified
143	New TB cases (all forms) registered for treatment
144	TB patients on DOTs
145	TB/HIV co-infected cases
146	Children (0-59 months) with TB
147	DR-TB (Drug Resistant TB) suspects identified
148	Individuals tested for HIV (non-ANC)
149	Individuals newly diagnosed HIV positive (non-ANC)
150	New patients enrolled on ART (Anti-Retroviral Therapy)
151	Total number of patients currently receiving ART
152	HIV positive clients started on Isoniazid Preventive Therapy (IPT)
153	Mothers tested for HIV at ANC first visit
154	Mothers newly diagnosed HIV positive at ANC first visit
155	HIV positive pregnant women who received ARV for PMTCT
156	HIV exposed infants receiving ARV Prophylaxis
157	Infants tested for HIV by PCR (6 weeks - EID)
158	Infants with positive HIV PCR test results
159	Infants with positive HIV PCR enrolled on ART
160	HIV positive mothers who received PNC HIV testing
161	HIV positive mothers newly diagnosed during PNC
162	HIV positive mothers referred for other services
163	HIV positive clients referred for other services (non-maternal)
164	STI cases seen (Syphilis, Gonorrhea, Chlamydia, etc.)
165	STI cases treated with appropriate regimen
166	Non-ANC Hepatitis B (HBV) screening done
167	Non-ANC Hepatitis B (HBV) cases referred for treatment
168	Non-ANC Hepatitis C (HCV) screening done
169	Non-ANC Hepatitis C (HCV) cases referred for treatment
170	New cases of Hypertension diagnosed (all ages)
171	New cases of Diabetes Mellitus diagnosed (all ages)
172	NCD patients receiving treatment/care (Hypertension, Diabetes, etc.)
173	New Cancer Screening Clients (e.g. Cervical, Breast)
174	Cases of Road Traffic Accident (RTA) attended to
175	Cases of other injuries/trauma attended to
176	Mental Health disorder cases seen
177	Obstetric Fistula cases identified and referred
178	Neglected Tropical Diseases (NTD) cases reported
179	Clients with Adverse Drug Reaction (ADR) reported
180	ADR cases reported to National Pharmacovigilance Centre
181	Stock-outs of essential commodities reported (Yes/No)
182	Functional Laboratory Services available (Yes/No)
183	Number of patients referred out of the facility
184	Number of patients referred into the facility
185	Functional Emergency Obstetric and Newborn Care (EmONC) services (Yes/No)
