"file","models","field_count","fields"
"C:\xampp\htdocs\app1\app\Livewire\Registers\AntenatalRegister.php","Facility, Lga, Patient, Registrations\AntenatalRegistration, State, Ward","4","created_at, facility_id, name, registration_date"
"C:\xampp\htdocs\app1\app\Livewire\Registers\FamilyPlanningRegister.php","Facility, Lga, Patient, Registrations\FamilyPlanningRegistration, State, Ward","4","facility_id, lga_id, name, state_id"
"C:\xampp\htdocs\app1\app\Livewire\Registers\GeneralPatientsRegister.php","Facility, Lga, Patient, Registrations\GeneralPatientsRegistration, State, Ward","3","facility_id, name, registration_date"
"C:\xampp\htdocs\app1\app\Livewire\Workspaces\Modules\Activities.php","Activity, Facility, Patient, Registrations\DinActivation","5","created_at, facility_id, patient_id, total, visit_date"
"C:\xampp\htdocs\app1\app\Livewire\Workspaces\Modules\ANC\AncOverview.php","Facility, Lga, Patient, Registrations\DinActivation, State, Ward","4","facility_id, lga_id, state_id, visit_date"
"C:\xampp\htdocs\app1\app\Livewire\Workspaces\Modules\ANC\Deliveries.php","Antenatal, Delivery, Facility, Lga, LinkedChild, Patient, Registrations\DinActivation, State, Ward","10","birth_order, date_of_birth, dodel, facility_id, gender, lga_id, name, patient_id, state_id, visit_date"
"C:\xampp\htdocs\app1\app\Livewire\Workspaces\Modules\ANC\FollowUpAssessment.php","AntenatalFollowUpAssessment, Facility, Lga, Patient, Registrations\DinActivation, State, Ward","5","facility_id, lga_id, patient_id, state_id, visit_date"
"C:\xampp\htdocs\app1\app\Livewire\Workspaces\Modules\ANC\Postnatal.php","Delivery, Facility, Lga, Patient, PostnatalRecord, Registrations\DinActivation, State, Ward","7","dodel, facility_id, lga_id, name, patient_id, state_id, visit_date"
"C:\xampp\htdocs\app1\app\Livewire\Workspaces\Modules\ANC\TetanusVaccinations.php","Activity, Facility, Patient, Registrations\DinActivation, TetanusVaccination","6","antenatal_registration_id, current_tt_dose, dose_number, facility_id, patient_id, visit_date"
"C:\xampp\htdocs\app1\app\Livewire\Workspaces\Modules\Appointments.php","AntenatalFollowUpAssessment, DoctorAssessment, Facility, FamilyPlanningFollowUp, Patient, Registrations\DinActivation, Registrations\FamilyPlanningRegistration, TetanusVaccination","15","clinical_remarks, contraceptive_selected, current_tt_dose, dose_date, facility_id, final_diagnosis, id, method_supplied, next_appointment, next_appointment_date, next_return_date, patient_id, registration_date, status, visit_date"
"C:\xampp\htdocs\app1\app\Livewire\Workspaces\Modules\Attendance.php","Activity, Facility, Patient, Registrations\DinActivation","2","facility_id, visit_date"
"C:\xampp\htdocs\app1\app\Livewire\Workspaces\Modules\Child\ActivityRegister.php","Activity, ChildHealthActivityRecord, Facility, LinkedChild, Patient, Registrations\DinActivation","8","date_of_birth, facility_id, id, is_active, linked_child_id, patient_id, visit_date, weight_entries"
"C:\xampp\htdocs\app1\app\Livewire\Workspaces\Modules\Child\Immunizations.php","Activity, Facility, ImmunizationRecord, LinkedChild, Patient, Registrations\DinActivation","6","date_of_birth, facility_id, id, is_active, patient_id, visit_date"
"C:\xampp\htdocs\app1\app\Livewire\Workspaces\Modules\Child\Nutrition.php","Activity, Facility, Lga, LinkedChild, NutritionRecord, Patient, Registrations\DinActivation, State, Ward","8","date_of_birth, facility_id, id, is_active, lga_id, patient_id, state_id, visit_date"
"C:\xampp\htdocs\app1\app\Livewire\Workspaces\Modules\Clinical\DoctorAssessments.php","Activity, DoctorAssessment, Facility, LabTestOrder, Patient, Prescription, Registrations\DinActivation","14","dosage, drug_name, duration, facility_id, frequency, id, instructions, patient_id, quantity_prescribed, route, specimen, status, test_name, visit_date"
"C:\xampp\htdocs\app1\app\Livewire\Workspaces\Modules\Clinical\DrugCatalog.php","DrugCatalogItem, Facility, Patient, Registrations\DinActivation","3","facility_id, id, visit_date"
"C:\xampp\htdocs\app1\app\Livewire\Workspaces\Modules\Clinical\Invoices.php","Activity, Facility, Invoice, Patient, PatientPayment, Registrations\DinActivation","7","facility_id, id, invoice_date, outstanding_amount, patient_id, payment_date, visit_date"
"C:\xampp\htdocs\app1\app\Livewire\Workspaces\Modules\Clinical\Laboratory.php","Activity, Facility, LabTest, LabTestOrder, Patient, Registrations\DinActivation","6","facility_id, id, patient_id, requested_at, status, visit_date"
"C:\xampp\htdocs\app1\app\Livewire\Workspaces\Modules\Clinical\Prescriptions.php","Activity, DrugCatalogItem, DrugDispenseLine, Facility, Invoice, Patient, Prescription, Registrations\DinActivation","12","COUNT(*) as lines_count, dispense_code, dispensed_date, drug_name, facility_id, id, is_active, patient_id, prescribed_date, status, SUM(quantity) as total_quantity, visit_date"
"C:\xampp\htdocs\app1\app\Livewire\Workspaces\Modules\Clinical\Referrals.php","Activity, Facility, Patient, Referral, Registrations\DinActivation","5","facility_id, id, patient_id, referral_date, visit_date"
"C:\xampp\htdocs\app1\app\Livewire\Workspaces\Modules\FamilyPlanning\ClientFollowUp.php","Activity, Facility, FamilyPlanningFollowUp, Patient, Registrations\DinActivation, Registrations\FamilyPlanningRegistration","5","facility_id, id, patient_id, registration_date, visit_date"
"C:\xampp\htdocs\app1\app\Livewire\Workspaces\Modules\HealthInsurance.php","Activity, Facility, Patient, Registrations\DinActivation","6","action, facility_id, id, module, patient_id, visit_date"
"C:\xampp\htdocs\app1\app\Livewire\Workspaces\Modules\Reminders.php","Activity, Facility, Patient, Registrations\DinActivation, Reminder, ReminderDispatchLog","6","facility_id, id, patient_id, reminder_date, status, visit_date"
"C:\xampp\htdocs\app1\app\Livewire\Workspaces\Modules\Visits.php","Facility, Patient, Registrations\DinActivation, Visit, VisitEvent","6","event_time, facility_id, id, status, visit_date, visit_id"
"C:\xampp\htdocs\app1\app\Livewire\Workspaces\Patientworkspace.php","Facility, Patient, Registrations\DinActivation","2","facility_id, visit_date"
"C:\xampp\htdocs\app1\app\Livewire\Workspaces\WorkspaceDashboard.php","AntenatalFollowUpAssessment, DoctorAssessment, Facility, FamilyPlanningFollowUp, Patient, Registrations\DinActivation, Registrations\FamilyPlanningRegistration, TetanusVaccination","5","facility_id, id, patient_id, registration_date, visit_date"
